"TIME","GEO","UNIT","Value"
"2000","BE10","Million euro",":"
"2000","BE21","Million euro",":"
"2000","BE22","Million euro",":"
"2000","BE23","Million euro",":"
"2000","BE24","Million euro",":"
"2000","BE25","Million euro",":"
"2000","BE31","Million euro",":"
"2000","BE32","Million euro",":"
"2000","BE33","Million euro",":"
"2000","BE34","Million euro",":"
"2000","BE35","Million euro",":"
"2000","BEZZ","Million euro",":"
"2000","BG31","Million euro","1,661"
"2000","BG32","Million euro","1,491"
"2000","BG33","Million euro","1,710"
"2000","BG34","Million euro","2,183"
"2000","BG41","Million euro","5,047"
"2000","BG42","Million euro","2,213"
"2000","CZ01","Million euro","15,132"
"2000","CZ02","Million euro","7,239"
"2000","CZ03","Million euro","7,178"
"2000","CZ04","Million euro","6,111"
"2000","CZ05","Million euro","8,671"
"2000","CZ06","Million euro","9,446"
"2000","CZ07","Million euro","6,478"
"2000","CZ08","Million euro","6,394"
"2000","DK01","Million euro","65,299"
"2000","DK02","Million euro","18,741"
"2000","DK03","Million euro","35,098"
"2000","DK04","Million euro","36,763"
"2000","DK05","Million euro","16,647"
"2000","DKZZ","Million euro","5,470"
"2000","DE11","Million euro","129,807"
"2000","DE12","Million euro","78,523"
"2000","DE13","Million euro","54,111"
"2000","DE14","Million euro","47,109"
"2000","DE21","Million euro","155,300"
"2000","DE22","Million euro","27,213"
"2000","DE23","Million euro","26,537"
"2000","DE24","Million euro","25,214"
"2000","DE25","Million euro","47,382"
"2000","DE26","Million euro","33,321"
"2000","DE27","Million euro","43,774"
"2000","DE30","Million euro","85,336"
"2000","DE40","Million euro","44,685"
"2000","DE50","Million euro","22,361"
"2000","DE60","Million euro","78,127"
"2000","DE71","Million euro","140,076"
"2000","DE72","Million euro","24,430"
"2000","DE73","Million euro","30,007"
"2000","DE80","Million euro","29,127"
"2000","DE91","Million euro","42,894"
"2000","DE92","Million euro","54,956"
"2000","DE93","Million euro","30,977"
"2000","DE94","Million euro","55,012"
"2000","DEA1","Million euro","148,355"
"2000","DEA2","Million euro","125,769"
"2000","DEA3","Million euro","57,121"
"2000","DEA4","Million euro","51,821"
"2000","DEA5","Million euro","85,824"
"2000","DEB1","Million euro","33,606"
"2000","DEB2","Million euro","10,313"
"2000","DEB3","Million euro","50,206"
