"TIME","GEO","SEX","AGE","UNIT","Value"
"1999","BE10","Total","From 15 to 24 years","Thousand","21.4"
"1999","BE10","Total","From 15 to 64 years","Thousand","334.2"
"1999","BE21","Total","From 15 to 24 years","Thousand","49.8"
"1999","BE21","Total","From 15 to 64 years","Thousand","648.8"
"1999","BE22","Total","From 15 to 24 years","Thousand","30.0"
"1999","BE22","Total","From 15 to 64 years","Thousand","314.1"
"1999","BE23","Total","From 15 to 24 years","Thousand","56.4"
"1999","BE23","Total","From 15 to 64 years","Thousand","563.8"
"1999","BE24","Total","From 15 to 24 years","Thousand","30.3"
"1999","BE24","Total","From 15 to 64 years","Thousand","441.9"
"1999","BE25","Total","From 15 to 24 years","Thousand","43.7"
"1999","BE25","Total","From 15 to 64 years","Thousand","467.5"
"1999","BE31","Total","From 15 to 24 years","Thousand","10.1"
"1999","BE31","Total","From 15 to 64 years","Thousand","136.9"
"1999","BE32","Total","From 15 to 24 years","Thousand","28.5"
"1999","BE32","Total","From 15 to 64 years","Thousand","417.8"
"1999","BE33","Total","From 15 to 24 years","Thousand","28.8"
"1999","BE33","Total","From 15 to 64 years","Thousand","372.9"
"1999","BE34","Total","From 15 to 24 years","Thousand","8.3"
"1999","BE34","Total","From 15 to 64 years","Thousand","93.8"
"1999","BE35","Total","From 15 to 24 years","Thousand","10.2"
"1999","BE35","Total","From 15 to 64 years","Thousand","163.6"
"1999","BG31","Total","From 15 to 24 years","Thousand",":"
"1999","BG31","Total","From 15 to 64 years","Thousand",":"
"1999","BG32","Total","From 15 to 24 years","Thousand",":"
"1999","BG32","Total","From 15 to 64 years","Thousand",":"
"1999","BG33","Total","From 15 to 24 years","Thousand",":"
"1999","BG33","Total","From 15 to 64 years","Thousand",":"
"1999","BG34","Total","From 15 to 24 years","Thousand",":"
"1999","BG34","Total","From 15 to 64 years","Thousand",":"
"1999","BG41","Total","From 15 to 24 years","Thousand",":"
"1999","BG41","Total","From 15 to 64 years","Thousand",":"
"1999","BG42","Total","From 15 to 24 years","Thousand",":"
"1999","BG42","Total","From 15 to 64 years","Thousand",":"
"1999","CZ01","Total","From 15 to 24 years","Thousand","56.5"
"1999","CZ01","Total","From 15 to 64 years","Thousand","601.9"
"1999","CZ02","Total","From 15 to 24 years","Thousand","74.2"
"1999","CZ02","Total","From 15 to 64 years","Thousand","510.4"
"1999","CZ03","Total","From 15 to 24 years","Thousand","78.3"
"1999","CZ03","Total","From 15 to 64 years","Thousand","549.2"
"1999","CZ04","Total","From 15 to 24 years","Thousand","67.3"
"1999","CZ04","Total","From 15 to 64 years","Thousand","488.3"
"1999","CZ05","Total","From 15 to 24 years","Thousand","95.7"
"1999","CZ05","Total","From 15 to 64 years","Thousand","676.5"
"1999","CZ06","Total","From 15 to 24 years","Thousand","100.2"
"1999","CZ06","Total","From 15 to 64 years","Thousand","743.0"
"1999","CZ07","Total","From 15 to 24 years","Thousand","71.2"
"1999","CZ07","Total","From 15 to 64 years","Thousand","550.1"
"1999","CZ08","Total","From 15 to 24 years","Thousand","62.3"
"1999","CZ08","Total","From 15 to 64 years","Thousand","533.2"
"1999","DK01","Total","From 15 to 24 years","Thousand",":"
"1999","DK01","Total","From 15 to 64 years","Thousand",":"
"1999","DK02","Total","From 15 to 24 years","Thousand",":"
"1999","DK02","Total","From 15 to 64 years","Thousand",":"
"1999","DK03","Total","From 15 to 24 years","Thousand",":"
"1999","DK03","Total","From 15 to 64 years","Thousand",":"
"1999","DK04","Total","From 15 to 24 years","Thousand",":"
"1999","DK04","Total","From 15 to 64 years","Thousand",":"
"1999","DK05","Total","From 15 to 24 years","Thousand",":"
"1999","DK05","Total","From 15 to 64 years","Thousand",":"
"1999","DE11","Total","From 15 to 24 years","Thousand","216.5"
"1999","DE11","Total","From 15 to 64 years","Thousand","1,824.5"
"1999","DE12","Total","From 15 to 24 years","Thousand","123.8"
"1999","DE12","Total","From 15 to 64 years","Thousand","1,172.2"
"1999","DE13","Total","From 15 to 24 years","Thousand","97.6"
"1999","DE13","Total","From 15 to 64 years","Thousand","946.8"
"1999","DE14","Total","From 15 to 24 years","Thousand","92.9"
"1999","DE14","Total","From 15 to 64 years","Thousand","802.3"
"1999","DE21","Total","From 15 to 24 years","Thousand","223.3"
"1999","DE21","Total","From 15 to 64 years","Thousand","1,980.5"
"1999","DE22","Total","From 15 to 24 years","Thousand","77.0"
"1999","DE22","Total","From 15 to 64 years","Thousand","553.9"
"1999","DE23","Total","From 15 to 24 years","Thousand","65.4"
"1999","DE23","Total","From 15 to 64 years","Thousand","494.8"
"1999","DE24","Total","From 15 to 24 years","Thousand","64.6"
"1999","DE24","Total","From 15 to 64 years","Thousand","505.8"
"1999","DE25","Total","From 15 to 24 years","Thousand","85.6"
"1999","DE25","Total","From 15 to 64 years","Thousand","757.7"
"1999","DE26","Total","From 15 to 24 years","Thousand","71.9"
"1999","DE26","Total","From 15 to 64 years","Thousand","597.1"
"1999","DE27","Total","From 15 to 24 years","Thousand","99.3"
"1999","DE27","Total","From 15 to 64 years","Thousand","812.7"
"1999","DE30","Total","From 15 to 24 years","Thousand","145.6"
"1999","DE30","Total","From 15 to 64 years","Thousand","1,447.8"
"1999","DE40","Total","From 15 to 24 years","Thousand","152.9"
"1999","DE40","Total","From 15 to 64 years","Thousand","1,139.6"
"1999","DE50","Total","From 15 to 24 years","Thousand","28.0"
"1999","DE50","Total","From 15 to 64 years","Thousand","271.4"
"1999","DE60","Total","From 15 to 24 years","Thousand","79.1"
"1999","DE60","Total","From 15 to 64 years","Thousand","780.5"
"1999","DE71","Total","From 15 to 24 years","Thousand","162.8"
"1999","DE71","Total","From 15 to 64 years","Thousand","1,687.0"
"1999","DE72","Total","From 15 to 24 years","Thousand","49.0"
"1999","DE72","Total","From 15 to 64 years","Thousand","441.0"
"1999","DE73","Total","From 15 to 24 years","Thousand","58.9"
"1999","DE73","Total","From 15 to 64 years","Thousand","532.7"
"1999","DE80","Total","From 15 to 24 years","Thousand","115.4"
"1999","DE80","Total","From 15 to 64 years","Thousand","752.6"
"1999","DE91","Total","From 15 to 24 years","Thousand","76.9"
"1999","DE91","Total","From 15 to 64 years","Thousand","696.8"
"1999","DE92","Total","From 15 to 24 years","Thousand","85.5"
"1999","DE92","Total","From 15 to 64 years","Thousand","909.0"
"1999","DE93","Total","From 15 to 24 years","Thousand","71.4"
"1999","DE93","Total","From 15 to 64 years","Thousand","711.6"
"1999","DE94","Total","From 15 to 24 years","Thousand","114.8"
"1999","DE94","Total","From 15 to 64 years","Thousand","1,017.8"
"1999","DEA1","Total","From 15 to 24 years","Thousand","203.1"
"1999","DEA1","Total","From 15 to 64 years","Thousand","2,168.9"
"1999","DEA2","Total","From 15 to 24 years","Thousand","194.0"
"1999","DEA2","Total","From 15 to 64 years","Thousand","1,810.3"
"1999","DEA3","Total","From 15 to 24 years","Thousand","132.6"
"1999","DEA3","Total","From 15 to 64 years","Thousand","1,059.6"
"1999","DEA4","Total","From 15 to 24 years","Thousand","102.0"
"1999","DEA4","Total","From 15 to 64 years","Thousand","877.7"
"1999","DEA5","Total","From 15 to 24 years","Thousand","161.0"
"1999","DEA5","Total","From 15 to 64 years","Thousand","1,536.8"
"1999","DEB1","Total","From 15 to 24 years","Thousand","73.3"
"1999","DEB1","Total","From 15 to 64 years","Thousand","645.8"
"1999","DEB2","Total","From 15 to 24 years","Thousand","27.5"
"1999","DEB2","Total","From 15 to 64 years","Thousand","213.8"
"1999","DEB3","Total","From 15 to 24 years","Thousand","90.5"
"1999","DEB3","Total","From 15 to 64 years","Thousand","885.8"
"1999","DEC0","Total","From 15 to 24 years","Thousand","44.8"
"1999","DEC0","Total","From 15 to 64 years","Thousand","432.9"
"1999","DED2","Total","From 15 to 24 years","Thousand",":"
"1999","DED2","Total","From 15 to 64 years","Thousand",":"
"1999","DED4","Total","From 15 to 24 years","Thousand",":"
"1999","DED4","Total","From 15 to 64 years","Thousand",":"
"1999","DED5","Total","From 15 to 24 years","Thousand",":"
"1999","DED5","Total","From 15 to 64 years","Thousand",":"
"1999","DEE0","Total","From 15 to 24 years","Thousand","146.0"
"1999","DEE0","Total","From 15 to 64 years","Thousand","1,070.5"
"1999","DEF0","Total","From 15 to 24 years","Thousand","123.1"
"1999","DEF0","Total","From 15 to 64 years","Thousand","1,202.8"
"1999","DEG0","Total","From 15 to 24 years","Thousand","138.4"
"1999","DEG0","Total","From 15 to 64 years","Thousand","1,084.9"
"1999","EE00","Total","From 15 to 24 years","Thousand","56.1"
"1999","EE00","Total","From 15 to 64 years","Thousand","563.9"
"1999","IE01","Total","From 15 to 24 years","Thousand","64.3"
"1999","IE01","Total","From 15 to 64 years","Thousand","374.1"
"1999","IE02","Total","From 15 to 24 years","Thousand","232.9"
"1999","IE02","Total","From 15 to 64 years","Thousand","1,181.1"
"1999","EL51","Total","From 15 to 24 years","Thousand","25.5"
"1999","EL51","Total","From 15 to 64 years","Thousand","223.6"
"1999","EL52","Total","From 15 to 24 years","Thousand","70.9"
"1999","EL52","Total","From 15 to 64 years","Thousand","679.6"
"1999","EL53","Total","From 15 to 24 years","Thousand","7.7"
"1999","EL53","Total","From 15 to 64 years","Thousand","100.4"
"1999","EL54","Total","From 15 to 24 years","Thousand","8.6"
"1999","EL54","Total","From 15 to 64 years","Thousand","112.9"
"1999","EL61","Total","From 15 to 24 years","Thousand","26.1"
"1999","EL61","Total","From 15 to 64 years","Thousand","262.9"
"1999","EL62","Total","From 15 to 24 years","Thousand","8.3"
"1999","EL62","Total","From 15 to 64 years","Thousand","81.8"
"1999","EL63","Total","From 15 to 24 years","Thousand","24.3"
"1999","EL63","Total","From 15 to 64 years","Thousand","252.5"
"1999","EL64","Total","From 15 to 24 years","Thousand","21.8"
"1999","EL64","Total","From 15 to 64 years","Thousand","195.6"
"1999","EL65","Total","From 15 to 24 years","Thousand","21.8"
"1999","EL65","Total","From 15 to 64 years","Thousand","224.3"
"1999","EL30","Total","From 15 to 24 years","Thousand","129.2"
"1999","EL30","Total","From 15 to 64 years","Thousand","1,397.0"
"1999","EL41","Total","From 15 to 24 years","Thousand","7.0"
"1999","EL41","Total","From 15 to 64 years","Thousand","61.8"
"1999","EL42","Total","From 15 to 24 years","Thousand","17.6"
"1999","EL42","Total","From 15 to 64 years","Thousand","112.7"
"1999","EL43","Total","From 15 to 24 years","Thousand","30.5"
"1999","EL43","Total","From 15 to 64 years","Thousand","239.7"
"1999","ES11","Total","From 15 to 24 years","Thousand","93.7"
"1999","ES11","Total","From 15 to 64 years","Thousand","954.2"
"1999","ES12","Total","From 15 to 24 years","Thousand","26.4"
"1999","ES12","Total","From 15 to 64 years","Thousand","334.5"
"1999","ES13","Total","From 15 to 24 years","Thousand","18.1"
"1999","ES13","Total","From 15 to 64 years","Thousand","177.5"
"1999","ES21","Total","From 15 to 24 years","Thousand","73.4"
