"TIME","GEO","SEX","AGE","UNIT","Value"
"1993","BE10","Total","Total","Number","950,339"
"1993","BE21","Total","Total","Number","1,619,613"
"1993","BE22","Total","Total","Number","761,565"
"1993","BE23","Total","Total","Number","1,344,263"
"1993","BE24","Total","Total","Number","982,943"
"1993","BE25","Total","Total","Number","1,116,244"
"1993","BE31","Total","Total","Number","329,614"
"1993","BE32","Total","Total","Number","1,285,934"
"1993","BE33","Total","Total","Number","1,011,368"
"1993","BE34","Total","Total","Number","236,850"
"1993","BE35","Total","Total","Number","429,586"
"1993","BG31","Total","Total","Number","1,166,687"
"1993","BG32","Total","Total","Number","1,096,989"
"1993","BG33","Total","Total","Number","1,067,248"
"1993","BG34","Total","Total","Number","1,248,850"
"1993","BG41","Total","Total","Number","2,175,593"
"1993","BG42","Total","Total","Number","1,729,496"
"1993","CZ01","Total","Total","Number","1,217,315"
"1993","CZ02","Total","Total","Number","1,110,114"
"1993","CZ03","Total","Total","Number","1,181,934"
"1993","CZ04","Total","Total","Number","1,129,161"
"1993","CZ05","Total","Total","Number","1,491,757"
"1993","CZ06","Total","Total","Number","1,662,566"
"1993","CZ07","Total","Total","Number","1,249,343"
"1993","CZ08","Total","Total","Number","1,283,507"
"1993","DK01","Total","Total","Number",":"
"1993","DK02","Total","Total","Number",":"
"1993","DK03","Total","Total","Number",":"
"1993","DK04","Total","Total","Number",":"
"1993","DK05","Total","Total","Number",":"
"1993","DE11","Total","Total","Number","3,807,445"
"1993","DE12","Total","Total","Number","2,612,810"
"1993","DE13","Total","Total","Number","2,041,044"
"1993","DE14","Total","Total","Number","1,687,410"
"1993","DE21","Total","Total","Number","3,919,109"
"1993","DE22","Total","Total","Number","1,109,216"
"1993","DE23","Total","Total","Number","1,032,218"
"1993","DE24","Total","Total","Number","1,094,271"
"1993","DE25","Total","Total","Number","1,641,331"
"1993","DE26","Total","Total","Number","1,289,657"
"1993","DE27","Total","Total","Number","1,684,485"
"1993","DE30","Total","Total","Number","3,465,751"
"1993","DE40","Total","Total","Number","2,542,642"
"1993","DE50","Total","Total","Number","685,840"
"1993","DE60","Total","Total","Number","1,688,789"
"1993","DE71","Total","Total","Number","3,649,645"
"1993","DE72","Total","Total","Number","1,032,082"
"1993","DE73","Total","Total","Number","1,240,951"
"1993","DE80","Total","Total","Number","1,864,971"
"1993","DE91","Total","Total","Number","1,670,253"
"1993","DE92","Total","Total","Number","2,108,598"
"1993","DE93","Total","Total","Number","1,535,496"
"1993","DE94","Total","Total","Number","2,263,184"
"1993","DEA1","Total","Total","Number","5,293,259"
"1993","DEA2","Total","Total","Number","4,113,462"
"1993","DEA3","Total","Total","Number","2,531,918"
"1993","DEA4","Total","Total","Number","1,953,995"
"1993","DEA5","Total","Total","Number","3,786,540"
"1993","DEB1","Total","Total","Number","1,445,016"
"1993","DEB2","Total","Total","Number","494,291"
"1993","DEB3","Total","Total","Number","1,941,644"
"1993","DEC0","Total","Total","Number","1,084,015"
"1993","DED2","Total","Total","Number",":"
"1993","DED4","Total","Total","Number",":"
"1993","DED5","Total","Total","Number",":"
"1993","DEE0","Total","Total","Number","2,796,969"
"1993","DEF0","Total","Total","Number","2,679,572"
"1993","DEG0","Total","Total","Number","2,545,787"
"1993","EE00","Total","Total","Number","1,511,303"
"1993","IE01","Total","Total","Number",":"
"1993","IE02","Total","Total","Number",":"
"1993","EL51","Total","Total","Number","573,890"
"1993","EL52","Total","Total","Number","1,737,962"
"1993","EL53","Total","Total","Number","291,794"
"1993","EL54","Total","Total","Number","331,089"
"1993","EL61","Total","Total","Number","739,239"
"1993","EL62","Total","Total","Number","195,196"
"1993","EL63","Total","Total","Number","705,916"
"1993","EL64","Total","Total","Number","553,594"
"1993","EL65","Total","Total","Number","582,745"
"1993","EL30","Total","Total","Number","3,700,526"
"1993","EL41","Total","Total","Number","200,088"
"1993","EL42","Total","Total","Number","270,920"
"1993","EL43","Total","Total","Number","547,999"
"1993","ES11","Total","Total","Number","2,731,249"
"1993","ES12","Total","Total","Number","1,091,116"
"1993","ES13","Total","Total","Number","529,686"
"1993","ES21","Total","Total","Number","2,102,202"
"1993","ES22","Total","Total","Number","525,349"
"1993","ES23","Total","Total","Number","265,665"
"1993","ES24","Total","Total","Number","1,193,145"
"1993","ES30","Total","Total","Number","5,030,383"
"1993","ES41","Total","Total","Number","2,535,358"
"1993","ES42","Total","Total","Number","1,678,672"
"1993","ES43","Total","Total","Number","1,064,385"
"1993","ES51","Total","Total","Number","6,110,576"
"1993","ES52","Total","Total","Number","3,913,214"
"1993","ES53","Total","Total","Number","732,316"
"1993","ES61","Total","Total","Number","7,030,276"
"1993","ES62","Total","Total","Number","1,072,937"
"1993","ES63","Total","Total","Number","68,449"
"1993","ES64","Total","Total","Number","58,528"
"1993","ES70","Total","Total","Number","1,530,528"
"1993","FR10","Total","Total","Number","10,793,414"
"1993","FR21","Total","Total","Number","1,348,898"
"1993","FR22","Total","Total","Number","1,834,923"
"1993","FR23","Total","Total","Number","1,760,144"
"1993","FR24","Total","Total","Number","2,403,487"
"1993","FR25","Total","Total","Number","1,402,650"
"1993","FR26","Total","Total","Number","1,614,605"
"1993","FR30","Total","Total","Number","3,977,782"
"1993","FR41","Total","Total","Number","2,311,514"
"1993","FR42","Total","Total","Number","1,662,967"
"1993","FR43","Total","Total","Number","1,105,411"
